time,ultrasonic,pressure
18743467,100.95,1023.00
18750538,100.78,1023.00
18757577,100.88,1023.00
18763949,101.02,1023.00
18769639,100.90,1023.00
18776025,101.03,1023.00
18783081,100.84,1023.00
18792961,101.04,1022.00
18800017,101.00,1021.00
18809205,101.08,1023.00
18814930,101.12,1022.00
18822020,101.36,1023.00
18828406,101.07,1023.00
18834810,101.06,1023.00
18839108,101.15,1023.00
18846917,101.50,1023.00
18854691,101.20,1023.00
18861095,101.65,1023.00
18868870,101.52,1023.00
18876627,101.49,1022.00
18882354,101.35,1023.00
18888758,101.51,1023.00
18895848,101.43,1023.00
18899281,101.47,1022.00
18906371,101.49,1023.00
18912764,101.67,1023.00
18919162,101.48,1023.00
18925534,101.39,1023.00
18932608,101.64,1023.00
18940417,101.61,1023.00
18943165,101.60,1022.00
18950288,101.53,1022.00
18953722,101.92,1023.00
18960780,101.80,1023.00
18967168,101.81,1023.00
18973572,101.68,1023.00
18981388,101.83,1023.00
18988461,101.50,1023.00
18996938,101.81,1022.00
19003359,102.24,1023.00
19011119,102.22,1023.00
19018209,101.91,1023.00
19025984,102.04,1023.00
19031002,102.39,1022.00
19036716,101.81,1023.00
19045182,102.14,1022.00
19050909,102.12,1023.00
19058717,101.84,1023.00
19066510,102.07,1023.00
19076375,102.30,1023.00
19079123,102.12,1023.00
19085513,102.44,1023.00
19094660,102.12,1022.00
19103823,102.34,1023.00
19109511,102.43,1022.00
19117270,102.29,1022.00
19122272,102.20,1023.00
19128677,102.30,1023.00
19136453,102.30,1023.00
19139203,102.59,1023.00
19144204,102.32,1023.00
19151306,102.39,1023.00
19157017,102.34,1022.00
19162019,102.53,1023.00
19170448,102.61,1023.00
19176837,102.29,1023.00
19184619,102.53,1023.00
19189638,102.45,1023.00
19196059,102.59,1023.00
19202465,102.57,1023.00
19204512,102.80,1023.00
19210217,102.78,1023.00
19216647,102.94,1023.00
19223036,102.59,1022.00
19229458,102.72,1023.00
19235163,102.75,1023.00
19239495,102.79,1023.00
19247272,102.56,1023.00
19253672,102.79,1023.00
19260780,102.77,1023.00
19268574,103.03,1022.00
19277739,102.93,1023.00
19280488,102.85,1023.00
19283222,102.84,1022.00
19285955,102.89,1023.00
19292361,103.10,1023.00
19299503,102.91,1023.00
19303820,102.85,1023.00
19311638,103.03,1021.00
19318028,103.09,1023.00
19326507,103.11,1023.00
19333566,103.42,1022.00
19336315,103.09,1022.00
19343408,103.05,1023.00
19349129,103.07,1023.00
19356221,103.25,1022.00
19364695,103.43,1023.00
19372473,103.37,1022.00
19378904,103.18,1023.00
19385978,103.25,1023.00
19390100,103.39,1023.00
19397192,103.45,1023.00
19403632,103.36,1023.00
19412096,103.47,1023.00
19419889,103.31,1023.00
19428353,103.48,1022.00
19434743,103.40,1023.00
19442527,103.38,1023.00
19448932,103.48,1023.00
19454638,103.44,1023.00
19461714,103.63,1023.00
19467437,103.62,1023.00
19473844,103.80,1023.00
19480246,103.72,1022.00
19485976,103.77,1023.00
19493737,103.77,1023.00
19499443,103.81,1023.00
19506536,103.72,1023.00
19509287,103.88,1023.00
19511353,103.86,1023.00
19521204,104.01,1022.00
19524820,103.89,1023.00
19533300,103.80,1023.00
19537603,103.78,1022.00
